episode,steps,success,peak_lift_m
ep_000000,511,True,0.3074786598881775
ep_000001,965,True,0.3070371402422873
ep_000002,22,True,0.3066641272324098
ep_000003,592,True,0.3073705731755519
ep_000004,491,True,0.3074994484942409
ep_000005,361,True,0.307357592759357
ep_000006,252,True,0.3074996035778224
ep_000007,246,True,0.29892003129129013
ep_000008,278,True,0.307495574854522
ep_000009,239,True,0.3076576140257213
ep_000010,204,True,0.2983032863143959
ep_000011,320,True,0.2733503791074435
ep_000012,469,True,0.26730398968687735
ep_000013,648,True,0.2914628730294296
ep_000014,245,True,0.2858414785050852
ep_000015,365,True,0.2952775382689335
ep_000016,427,True,0.2859162135934818
